"nba_id","active","first_year","last_year","team_id","veteran","first_name","last_name"
"78225","0","1948","1956","0","Y","Spears","Odie"
"78226","0","1946","1949","0","Y","Spector","Art"
"201578","1","2008","2017","1610612753","Y","Speights","Marreese"
"78227","0","1992","1993","0","Y","Spencer","Andre"
"771","0","1992","1996","0","Y","Spencer","Elmore"
"280","0","1990","2001","0","Y","Spencer","Felton"
"78230","0","1946","1946","0","Y","Spicer","Lou"
"78231","0","1967","1967","0","Y","Spitzer","Craig"
"201168","1","2010","2017","1610612755","Y","Splitter","Tiago"
"78232","0","1954","1957","0","Y","Spoelstra","Art"
"84","0","1992","2004","0","Y","Sprewell","Latrell"
"78233","0","1981","1985","0","Y","Spriggs","Larry"
"78234","0","1948","1948","0","Y","Springer","Jim"
"78235","0","1948","1948","0","Y","Spruill","Jim"
"1756","0","1998","1999","0","Y","Stack","Ryan"
"711","0","1995","2012","0","Y","Stackhouse","Jerry"
"78237","0","1974","1981","0","Y","Stacom","Kevin"
"78238","0","1965","1974","0","Y","Stallworth","Dave"
"78239","0","1972","1976","0","Y","Stallworth","Isaac"
"78240","0","1949","1950","0","Y","Stanczak","Ed"
"78241","0","1984","1986","0","Y","Stansbury","Terence"
"317","0","1988","2001","0","Y","Starks","John"
"78243","0","1976","1976","0","Y","Starr","Keith"
"203917","1","2014","2017","1610612755","Y","Stauskas","Nik"
"78244","0","1958","1963","0","Y","Staverman","Larry"
"78245","0","1971","1979","0","Y","Steele","Larry"
"1099","0","1996","1996","0","Y","Steigenga","Matt"
"1735","0","1998","2003","0","Y","Stepania","Vladimir"
"203474","0","2013","2013","0","Y","Stephens","DJ"
"78247","0","1988","1990","0","Y","Stephens","Everette"
"78249","0","1955","1955","0","Y","Stephens","Jack"
"1086","0","1996","1999","0","Y","Stephens","Joe"
"202362","1","2010","2017","1610612754","Y","Stephenson","Lance"
"1627293","0","2015","2015","0","Y","Stepheson","Alex"
"78250","0","1982","1988","0","Y","Steppe","Brook"
"78251","0","1992","1992","0","Y","Stevens","Barry"
"78252","0","1959","1959","0","Y","Stevens","Wayne"
"2052","0","2000","2012","0","Y","Stevenson","DeShawn"
"78253","0","1970","1970","0","Y","Stewart","Dennis"
"1529","0","1997","1997","0","Y","Stewart","Kebu"
"1125","0","1991","1996","0","Y","Stewart","Larry"
"1565","0","1997","2004","0","Y","Stewart","Michael"
"78256","0","1956","1956","0","Y","Stewart","Norm"
"201880","0","2009","2014","0","Y","Stiemsma","Greg"
"78257","0","1983","1987","0","Y","Stipanovich","Steve"
"179","0","1992","2002","0","Y","Stith","Bryant"
"78259","0","1961","1961","0","Y","Stith","Sam"
"78260","0","1962","1962","0","Y","Stith","Tom"
"78261","0","1985","1992","0","Y","Stivrins","Alex"
"204065","0","2014","2014","0","Y","Stockton","David"
"304","0","1984","2002","0","Y","Stockton","John"
"978","0","1998","2010","0","Y","Stojakovic","Peja"
"1055","0","1997","1997","0","Y","Stokes","Ed"
"78264","0","1985","1989","0","Y","Stokes","Greg"
"203950","0","2014","2016","0","Y","Stokes","Jarnell"
"600016","0","1955","1957","0","Y","Stokes","Maurice"
"78266","0","1946","1946","0","Y","Stolkey","Art"
"1627754","1","2016","2017","1610612737","Y","Stone","Diamond"
"202933","0","2011","2013","0","Y","Stone","Julyan"
"2852","0","2004","2007","0","Y","Storey","Awvee"
"757","0","1995","2007","0","Y","Stoudamire","Damon"
"101136","0","2005","2008","0","Y","Stoudamire","Salim"
"2405","0","2002","2015","0","Y","Stoudemire","Amar'e"
"78267","0","1972","1972","0","Y","Stovall","Paul"
"201199","0","2007","2007","0","Y","Strawberry","DJ"
"78268","0","1965","1967","0","Y","Strawder","Joe"
"78269","0","1970","1970","0","Y","Stricker","Bill"
"1065","0","1996","2004","0","Y","Strickland","Erick"
"1110","0","1994","2002","0","Y","Strickland","Mark"
